date,SQUAT,BENCH,DEADLIFT
08-11-2014,50,x,x
08-13-2014,x,x,x
08-14-2014,70,x,x
08-18-2014,170,x,150
08-23-2014,x,x,x
08-25-2014,190,x,160
08-26-2014,x,x,x
08-27-2014,x,x,x
08-30-2014,x,x,x
09-01-2014,x,x,x
09-03-2014,x,x,x
09-04-2014,x,x,x
09-05-2014,x,x,x
09-08-2014,x,x,x
09-10-2014,x,x,200
09-13-2014,x,x,x
09-17-2014,x,x,x
09-21-2014,x,x,x
09-24-2014,x,x,6
09-29-2014,x,x,170
09-30-2014,x,x,x
10-02-2014,x,x,x
10-06-2014,x,x,x
10-08-2014,x,x,200
10-09-2014,x,x,x
10-16-2014,x,x,x
10-18-2014,x,x,6
10-20-2014,170,x,180
10-25-2014,x,x,x
10-27-2014,170,x,x
10-29-2014,x,x,x
10-30-2014,170,x,x
11-01-2014,x,110,x
11-03-2014,x,x,x
11-04-2014,176,x,x
11-05-2014,x,x,x
11-10-2014,200,80,x
11-12-2014,200,x,x
11-13-2014,x,x,x
11-15-2014,x,x,x
11-18-2014,200,x,150
11-19-2014,200,x,150
11-23-2014,175,x,x
11-25-2014,190,x,170
11-26-2014,190,x,170
11-27-2014,176,x,x
